tag #,data collection date,broodstock,set date,distribution date,total # of live oysters,clump (if any noted),shell_height_mm,Organization,Location,Notes,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,45,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,95,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,105,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,85,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,68,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,63,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
,10/22/2019,,,,140,,54,Sunset Park High School,"Brooklyn Bridge Park, Pier 5",,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,87.5,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,98,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,103,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,135,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,131,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,89,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,43,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,41,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,43,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,85,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,80,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,45,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,21,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,118,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,63,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,48,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
8,9/22/2019,,,,122,,53,Robert Croonquist - Community Scientist,"Hudson River Park, Pier 40",stopped monitoring 11/21/2019,,,,,,,,,,,,,,,
